Brandon Bolden,2.8,1.3,6.34,1.97,8.13,5.31,,,2.59,1.56,5.71,2.24,4.74,6.6,,
Matt Dayes,1.62,,,,,,,,1.3,,,,,,,
Derek Watt,1.32,2.12,,,,,,,1.31,2.06,,,,,,
Dwayne Washington,1.56,4.43,,,,,,,0.92,1.91,,,,,,
Jay Prosch,1.78,0.63,0.83,1.13,,,,,0.66,0.58,0.91,1.6,,,,
Bobby Rainey,2.33,4.4,0.73,9.26,8.83,,,,0.88,5.15,1.42,5.36,10.4,,,
Marcus Murphy,6.8,1.3,-1,,,,,,0,0,1,,,,,
Jalston Fowler,2.13,0.9,3.24,,,,,,2.95,1.07,2.58,,,,,
De'Veon Smith,5.7,,,,,,,,0,,,,,,,
Fitzgerald Toussaint,2.7,2.42,1.4,3.45,,,,,2.4,1.91,0.75,1.65,,,,
Josh Ferguson,1.7,4.45,,,,,,,2.06,3.35,,,,,,
Mack Brown,2.5,15,,,,,,,0.2,0,,,,,,
Dan Vitale,0.98,1.34,,,,,,,0.86,1.07,,,,,,
Derrick Coleman,0.69,,0.84,5.45,,,,,0.88,,0.65,3.05,,,,
Senorise Perry,2.15,,,0.9,,,,,0.05,,,0,,,,
Michael Burton,0.53,0,2.01,,,,,,0.63,0,2.76,,,,,
Brian Hill,3.1,,,,,,,,2.15,,,,,,,
Andre Williams,1.25,8.7,2.09,9.06,,,,,1.05,0,2.28,6.06,,,,
David Fluellen,0.7,,,,,,,,0.79,,,,,,,
Taiwan Jones,2.1,2.5,3.6,,1.95,1.73,1.18,,0,0.33,4.28,,1.47,0.42,1.92,
Matt Jones,0.7,10.76,8.8,,,,,,0.4,7.33,8.61,,,,,
LeShun Daniels Jr,0.7,,,,,,,,0.5,,,,,,,
Joe Kerridge,1.3,0,,,,,,,0,0,,,,,,
Devante Mays,0.55,,,,,,,,2.65,,,,,,,
Raheem Mostert,0.33,0.6,-2,,,,,,1.02,0,0,,,,,
Terrell Watson,0.16,10.3,,,,,,,0.12,0,,,,,,
John Kuhn,0.2,4.36,2.93,1.89,2.41,3.51,4.16,5.55,0,5.33,2.86,1.52,2.21,3.35,3.3,5.75
Justin Davis,0.1,,,,,,,,0,,,,,,,
CJ Spiller,0,3.76,6.24,7.27,10.43,15.96,9.88,4.86,0,3.76,5.44,4.34,6.14,7.4,9.85,3.15
Marquez Williams,0,,,,,,,,0,,,,,,,
Bronson Hill,-0.2,1.1,,,,,,,0,0,,,,,,
Darren McFadden,-0.2,4.47,12.11,7.54,9.37,12.71,17.69,20.57,0,2.02,5.37,4.5,6.67,6.39,10.37,11.08
DeAndre Hopkins,20.65,12.34,20.57,14.44,8.89,,,,7.39,5.62,8.23,9.53,5.86,,,
Antonio Brown,22.02,20.49,23.64,23.38,19.26,13.32,12.24,3.63,11.75,8.47,13.07,6.86,7.68,5.27,6.05,2.79
Keenan Allen,17.39,12.3,20.19,12.52,14.64,,,,9.6,0,11.05,9,7.62,,,
Jarvis Landry,16.25,14.34,16.75,11.34,,,,,5.32,6.07,7.1,5.9,,,,
Larry Fitzgerald,16.16,15.31,17.53,10.81,14.76,10.93,16.82,14.98,8.86,6.67,8.14,7.35,7.84,8.13,7.56,6.72
Michael Thomas,16.16,17.05,,,,,,,5.96,7.84,,,,,,
Julio Jones,15.74,18.56,23.07,19.83,21.94,16.36,15.5,,10.4,11.62,9.08,10.15,6.79,8.21,9.92,
Tyreek Hill,16.08,12.44,,,,,,,8.15,6.38,,,,,,
Adam Thielen,14.99,12.2,3.92,4.62,,,,,7.61,10.34,4.13,6.06,,,,
AJ Green,14.79,18.64,17.11,17.11,19.16,18.74,14.53,,8.2,11.41,9.75,9.95,8.43,7.93,6.05,
Marvin Jones,14.07,11.49,10.87,,11.79,6.1,,,7.63,8.66,5.85,,10.4,5.44,,
Golden Tate,13.91,13.82,13.17,16.19,11.68,10.39,5.79,4.01,7.09,8.69,6.35,7.3,7.79,6.65,3.87,2.42
Davante Adams,15.89,15.29,8.69,7.19,,,,,7.61,9.46,4.73,5.27,,,,
Doug Baldwin,13.83,15.56,16.81,10.46,9.9,5.97,9.6,,7.4,9.18,10.32,6.26,6.29,5.6,7.51,
Brandin Cooks,13.7,15.39,15.86,13.93,,,,,7.69,10.26,7.96,7.32,,,,
Demaryius Thomas,12.87,14.02,16.71,21.18,19.94,18.26,15.5,5.84,6.33,5.42,5.44,10.47,8.4,7.51,9.92,6.68
Mike Evans,13.41,18.76,15.06,16.34,,,,,5.95,9.08,7.11,9.08,,,,
Robby Anderson,11.83,8.21,,,,,,,7.76,5.44,,,,,,
Stefon Diggs,14.12,14.87,11.48,,,,,,9.54,9.01,7.45,,,,,
Devin Funchess,12.19,6.01,6.64,,,,,,7.23,4.3,6.47,,,,,
JuJu Smith-Schuster,14.75,,,,,,,,8.35,,,,,,,
Alshon Jeffery,11.87,12.18,17.63,16.35,17.6,7.87,,,6.81,4.97,8.17,7.3,11.27,5.33,,
Nelson Agholor,11.72,5.73,4.61,,,,,,7.06,4.23,3.97,,,,,
Dez Bryant,11.66,13.51,9.9,19.75,18.38,18.61,13.89,11.26,4.91,9.07,5.94,8.38,8.32,11.79,4.78,6.87
Cooper Kupp,11.79,,,,,,,,5.8,,,,,,,
Jermaine Kearse,11,6.13,9.83,6.61,5.61,,,,6.84,3.7,6.51,3.59,4.87,,,
TY Hilton,10.98,16.99,13.21,17.23,13.87,12.07,,,9.62,8.83,7.63,9.93,9.89,7.95,,
Kenny Stills,10.92,10.54,6.36,11.59,7.94,,,,8.1,6.43,5.52,6.35,7.4,,,
Marquise Goodwin,10.54,6.44,4.4,0.86,7.83,,,,6.09,5.88,0,1.5,7.55,,,
Mohamed Sanu,11.22,9.79,5.72,10.69,6.51,9.48,,,5,6.07,4.33,8.04,3.78,6.72,,
Michael Crabtree,12.91,14.83,14.45,10.14,10.68,15.59,12.27,10.32,8.57,7.91,6.59,6.43,3.93,9.05,7.06,7.1
Jamison Crowder,10.69,11.97,8.1,,,,,,7.13,6.75,6.2,,,,,
Ted Ginn Jr,10.64,10.37,13.14,2.8,7.78,0.2,3.41,2.72,5.95,6.06,8.17,2.85,4.88,1.28,3.49,3.16
Amari Cooper,11.31,14.18,13.29,,,,,,10.8,7.94,8.72,,,,,
Randall Cobb,11.21,11.41,12.68,18.21,17.68,15.64,4.2,,5.06,7.08,7.41,6.34,6.87,6.69,3.55,
Rishard Matthews,11.16,13.22,12.15,3.78,7.52,4.35,,,6.41,6.35,7.95,2.61,8.62,1.67,,
Robert Woods,13.61,9.15,8.44,10.18,8.45,,,,9.15,6.58,5.92,6.97,5.26,,,
Mike Wallace,10.37,12.55,6.59,13.3,12.46,12.97,15.19,15.6,5.9,5.33,5.61,5.82,7.75,7.95,6.49,7.99
Paul Richardson,9.39,5.12,5,5.65,,,,,6.43,3.64,0,3.84,,,,
Sammy Watkins,9.75,10.38,18.23,12.38,,,,,7.06,7.82,9.46,8.82,,,,
Marqise Lee,11.22,10.48,4.88,7.18,,,,,6.57,5.16,3.17,5.2,,,,
Sterling Shepard,13.14,11.53,,,,,,,9.44,5.52,,,,,,
